
--- Run started 2026-02-04 17:51:48 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 52605, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 54467, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 48940, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 47896, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 57932, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 48585, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 40676, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 40692, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 42924, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 49018, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: 40695, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 44748, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 42895, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 41992, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 42324, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 44016, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: 51831, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 46529, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 47684, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: 39379, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 49695, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 37837, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: 54496, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: 43935, Epsilon: 0.0100, Buffer: 100000
Episode 25000/500000, Total Reward: 54131, Epsilon: 0.0100, Buffer: 100000
Episode 26000/500000, Total Reward: 49160, Epsilon: 0.0100, Buffer: 100000
Episode 27000/500000, Total Reward: 37131, Epsilon: 0.0100, Buffer: 100000
Episode 28000/500000, Total Reward: 50582, Epsilon: 0.0100, Buffer: 100000
Episode 29000/500000, Total Reward: 58131, Epsilon: 0.0100, Buffer: 100000
Episode 30000/500000, Total Reward: 53465, Epsilon: 0.0100, Buffer: 100000
Episode 31000/500000, Total Reward: 45391, Epsilon: 0.0100, Buffer: 100000
Episode 32000/500000, Total Reward: 42543, Epsilon: 0.0100, Buffer: 100000
Episode 33000/500000, Total Reward: 38963, Epsilon: 0.0100, Buffer: 100000
Episode 34000/500000, Total Reward: 36902, Epsilon: 0.0100, Buffer: 100000
Episode 35000/500000, Total Reward: 52773, Epsilon: 0.0100, Buffer: 100000
Episode 36000/500000, Total Reward: 42703, Epsilon: 0.0100, Buffer: 100000
Episode 37000/500000, Total Reward: 46677, Epsilon: 0.0100, Buffer: 100000
Episode 38000/500000, Total Reward: 41077, Epsilon: 0.0100, Buffer: 100000
Episode 39000/500000, Total Reward: 37749, Epsilon: 0.0100, Buffer: 100000
Episode 40000/500000, Total Reward: 42110, Epsilon: 0.0100, Buffer: 100000
Episode 41000/500000, Total Reward: 65552, Epsilon: 0.0100, Buffer: 100000
Episode 42000/500000, Total Reward: 25836, Epsilon: 0.0100, Buffer: 100000
Episode 43000/500000, Total Reward: 47867, Epsilon: 0.0100, Buffer: 100000
Episode 44000/500000, Total Reward: 44924, Epsilon: 0.0100, Buffer: 100000
Episode 45000/500000, Total Reward: 45720, Epsilon: 0.0100, Buffer: 100000
Episode 46000/500000, Total Reward: 60953, Epsilon: 0.0100, Buffer: 100000
Episode 47000/500000, Total Reward: 42438, Epsilon: 0.0100, Buffer: 100000
Episode 48000/500000, Total Reward: 41386, Epsilon: 0.0100, Buffer: 100000
Episode 49000/500000, Total Reward: 56327, Epsilon: 0.0100, Buffer: 100000
Episode 50000/500000, Total Reward: 42632, Epsilon: 0.0100, Buffer: 100000
Episode 51000/500000, Total Reward: 42603, Epsilon: 0.0100, Buffer: 100000
Episode 52000/500000, Total Reward: 51879, Epsilon: 0.0100, Buffer: 100000
Episode 53000/500000, Total Reward: 50324, Epsilon: 0.0100, Buffer: 100000
Episode 54000/500000, Total Reward: 32223, Epsilon: 0.0100, Buffer: 100000
Episode 55000/500000, Total Reward: 46424, Epsilon: 0.0100, Buffer: 100000
Episode 56000/500000, Total Reward: 38771, Epsilon: 0.0100, Buffer: 100000
Episode 57000/500000, Total Reward: 37007, Epsilon: 0.0100, Buffer: 100000
Episode 58000/500000, Total Reward: 45432, Epsilon: 0.0100, Buffer: 100000
Episode 59000/500000, Total Reward: 47856, Epsilon: 0.0100, Buffer: 100000
Episode 60000/500000, Total Reward: 43701, Epsilon: 0.0100, Buffer: 100000
Episode 61000/500000, Total Reward: 42700, Epsilon: 0.0100, Buffer: 100000
Episode 62000/500000, Total Reward: 60169, Epsilon: 0.0100, Buffer: 100000
Episode 63000/500000, Total Reward: 52547, Epsilon: 0.0100, Buffer: 100000
Episode 64000/500000, Total Reward: 58155, Epsilon: 0.0100, Buffer: 100000
Episode 65000/500000, Total Reward: 53497, Epsilon: 0.0100, Buffer: 100000
Episode 66000/500000, Total Reward: 36634, Epsilon: 0.0100, Buffer: 100000
Episode 67000/500000, Total Reward: 56842, Epsilon: 0.0100, Buffer: 100000
Episode 68000/500000, Total Reward: 22210, Epsilon: 0.0100, Buffer: 100000
Episode 69000/500000, Total Reward: 42054, Epsilon: 0.0100, Buffer: 100000
Episode 70000/500000, Total Reward: 45916, Epsilon: 0.0100, Buffer: 100000
Episode 71000/500000, Total Reward: 50446, Epsilon: 0.0100, Buffer: 100000
Episode 72000/500000, Total Reward: 47978, Epsilon: 0.0100, Buffer: 100000
Episode 73000/500000, Total Reward: 41810, Epsilon: 0.0100, Buffer: 100000
Episode 74000/500000, Total Reward: 53647, Epsilon: 0.0100, Buffer: 100000
Episode 75000/500000, Total Reward: 57472, Epsilon: 0.0100, Buffer: 100000
Episode 76000/500000, Total Reward: 56664, Epsilon: 0.0100, Buffer: 100000
Episode 77000/500000, Total Reward: 50160, Epsilon: 0.0100, Buffer: 100000
