
--- Run started 2026-02-11 05:27:29 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 21555, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 8425, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 2811, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 7684, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 11194, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 7368, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 12733, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 16504, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 8519, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 4380, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: -1935, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 5005, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 10233, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 10812, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 396, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 10604, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: 19527, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 14432, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 106, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: -2094, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 10008, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 6091, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: 9355, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: -1142, Epsilon: 0.0100, Buffer: 100000
Episode 25000/500000, Total Reward: 2273, Epsilon: 0.0100, Buffer: 100000
Episode 26000/500000, Total Reward: 21219, Epsilon: 0.0100, Buffer: 100000
Episode 27000/500000, Total Reward: 14177, Epsilon: 0.0100, Buffer: 100000
Episode 28000/500000, Total Reward: 11744, Epsilon: 0.0100, Buffer: 100000
Episode 29000/500000, Total Reward: -3190, Epsilon: 0.0100, Buffer: 100000
Episode 30000/500000, Total Reward: 14453, Epsilon: 0.0100, Buffer: 100000
Episode 31000/500000, Total Reward: 15563, Epsilon: 0.0100, Buffer: 100000
Episode 32000/500000, Total Reward: 15716, Epsilon: 0.0100, Buffer: 100000
Episode 33000/500000, Total Reward: 6442, Epsilon: 0.0100, Buffer: 100000
Episode 34000/500000, Total Reward: 27342, Epsilon: 0.0100, Buffer: 100000
Episode 35000/500000, Total Reward: 4216, Epsilon: 0.0100, Buffer: 100000
Episode 36000/500000, Total Reward: 16023, Epsilon: 0.0100, Buffer: 100000
Episode 37000/500000, Total Reward: 3142, Epsilon: 0.0100, Buffer: 100000
Episode 38000/500000, Total Reward: 12701, Epsilon: 0.0100, Buffer: 100000
Episode 39000/500000, Total Reward: 8712, Epsilon: 0.0100, Buffer: 100000
Episode 40000/500000, Total Reward: 9536, Epsilon: 0.0100, Buffer: 100000
Episode 41000/500000, Total Reward: 22464, Epsilon: 0.0100, Buffer: 100000
Episode 42000/500000, Total Reward: 23656, Epsilon: 0.0100, Buffer: 100000
Episode 43000/500000, Total Reward: 783, Epsilon: 0.0100, Buffer: 100000
Episode 44000/500000, Total Reward: 8103, Epsilon: 0.0100, Buffer: 100000
Episode 45000/500000, Total Reward: 12829, Epsilon: 0.0100, Buffer: 100000
Episode 46000/500000, Total Reward: 19042, Epsilon: 0.0100, Buffer: 100000
Episode 47000/500000, Total Reward: 13996, Epsilon: 0.0100, Buffer: 100000
Episode 48000/500000, Total Reward: 16623, Epsilon: 0.0100, Buffer: 100000
Episode 49000/500000, Total Reward: 11522, Epsilon: 0.0100, Buffer: 100000
Episode 50000/500000, Total Reward: 18323, Epsilon: 0.0100, Buffer: 100000
Episode 51000/500000, Total Reward: 11690, Epsilon: 0.0100, Buffer: 100000
Episode 52000/500000, Total Reward: 11556, Epsilon: 0.0100, Buffer: 100000
Episode 53000/500000, Total Reward: 5151, Epsilon: 0.0100, Buffer: 100000
Episode 54000/500000, Total Reward: 11984, Epsilon: 0.0100, Buffer: 100000
Episode 55000/500000, Total Reward: 845, Epsilon: 0.0100, Buffer: 100000
Episode 56000/500000, Total Reward: 4689, Epsilon: 0.0100, Buffer: 100000
Episode 57000/500000, Total Reward: 5441, Epsilon: 0.0100, Buffer: 100000
Episode 58000/500000, Total Reward: 11195, Epsilon: 0.0100, Buffer: 100000
Episode 59000/500000, Total Reward: 12009, Epsilon: 0.0100, Buffer: 100000
