parity,conception_mac,value_new_pregnancy
1,3,316.17
1,4,358.78
1,5,398.23
1,6,431.60
1,7,456.20
1,8,467.57
1,9,460.60
1,10,429.82
2,3,390.51
2,4,409.30
2,5,407.39
2,6,377.52
2,7,311.72
2,8,203.70
2,9,76.94
2,10,0.00
3,3,363.65
3,4,361.16
3,5,330.40
3,6,264.08
3,7,162.03
3,8,16.71
3,9,0.00
3,10,0.00
4,3,362.02
4,4,360.96
4,5,332.92
4,6,270.68
4,7,177.40
4,8,38.51
4,9,0.00
4,10,0.00
5,3,348.74
5,4,340.00
5,5,303.07
5,6,238.09
5,7,142.88
5,8,4.76
5,9,0.00
5,10,0.00
6,3,324.51
6,4,302.39
6,5,253.10
6,6,184.97
6,7,79.60
6,8,1.36
6,9,0.00
6,10,0.00
7,3,288.23
7,4,251.42
7,5,204.53
7,6,127.52
7,7,29.41
7,8,0.00
7,9,0.00
7,10,0.00
8,3,233.42
8,4,199.93
8,5,142.96
8,6,52.77
8,7,21.29
8,8,0.00
8,9,0.00
8,10,0.00
9,3,181.56
9,4,139.76
9,5,68.48
9,6,38.60
9,7,11.23
9,8,0.00
9,9,0.00
9,10,0.00
10,3,131.54
10,4,74.22
10,5,50.09
10,6,26.17
10,7,0.00
10,8,0.00
10,9,0.00
10,10,0.00
11,3,75.70
11,4,57.96
11,5,36.72
11,6,8.83
11,7,0.00
11,8,0.00
11,9,0.00
11,10,0.00
12,3,64.14
12,4,45.30
12,5,20.02
12,6,0.00
12,7,0.00
12,8,0.00
12,9,0.00
12,10,0.00
